Effect,Estimate,model,scenario,budget
Direct,0.1731854763219573,gpt_3_5_turbo,s14,200
Indirect,0,gpt_3_5_turbo,s14,200
Spurious,0,gpt_3_5_turbo,s14,200
Total,0.2200545122652598,gpt_3_5_turbo,s14,400
Direct,0.06789706235521156,gpt_3_5_turbo,s14,400
Indirect,0,gpt_3_5_turbo,s14,400
Spurious,0,gpt_3_5_turbo,s14,400
Total,0.22467887461664962,gpt_3_5_turbo,s14,600
Direct,0.16060440165474132,gpt_3_5_turbo,s14,600
Indirect,0,gpt_3_5_turbo,s14,600
Spurious,0,gpt_3_5_turbo,s14,600
Total,0.20306493946321227,gpt_3_5_turbo,s14,800
Direct,0.1729091660942913,gpt_3_5_turbo,s14,800
Indirect,0,gpt_3_5_turbo,s14,800
Spurious,0,gpt_3_5_turbo,s14,800
